Taxon,Genus,Tribe,Subfamily,Family,NCBITaxon,Order,Diet,Nesting,Foraging,DietMod,NestingMod,ForagingMod,DietModslashboth,DietModslashlower,DietModslashupper,DietModalllower,DietModallupper,DietModanyplant,DietModonlyplant,ForagingModalllower,ForagingModallupper,ForagingModanycanopy,NestingModalllower,NestingModallupper,NestingModanycanopy,DietModonlypred,DietModanypred,DietModonlyomni,DietModanyomni,ForagingModanyground,NestingModanyground
Ankylomyrma_coronacantha,Ankylomyrma,Ankylomyrma,Agroecomyrmecinae,Formicidae,Ankylomyrma_coronacantha,Hymenoptera,?,1,0&1,?,1,0&1,?,?,?,?,?,?,?,0,1,1,1,1,1,?,?,?,?,1,0
Tatuidris_tatusia,Tatuidris,Tatuidris,Agroecomyrmecinae,Formicidae,Tatuidris_tatusia,Hymenoptera,2,0,1,2,0,1,2,2,2,2,2,0,0,1,1,1,0,0,0,1,1,0,0,0,1
Adetomyrma_bressleri,Adetomyrma,Adetomyrma,Amblyoponinae,Formicidae,Adetomyrma_bressleri,Hymenoptera,2,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Adetomyrma_caputleae,Adetomyrma,Adetomyrma,Amblyoponinae,Formicidae,Adetomyrma_caputleae,Hymenoptera,2,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Amblyopone_australis,Amblyopone,Amblyopone,Amblyoponinae,Formicidae,Amblyopone_australis,Hymenoptera,2,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Amblyopone_longidens,Amblyopone,Amblyopone,Amblyoponinae,Formicidae,Amblyopone_longidens,Hymenoptera,2,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Apomyrma_stygia,Apomyrma,Apomyrma,Amblyoponinae,Formicidae,Apomyrma_stygia,Hymenoptera,2,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Fulakora_armigera,Fulakora,Fulakora,Amblyoponinae,Formicidae,Stigmatomma_armigerum,Hymenoptera,2,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Fulakora_cleae,Fulakora,Fulakora,Amblyoponinae,Formicidae,Stigmatomma_cleae,Hymenoptera,2,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Fulakora_elongata,Fulakora,Fulakora,Amblyoponinae,Formicidae,Stigmatomma_elongatum,Hymenoptera,2,0,0,2,0,0,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1
