,Family,Order,Clade,Clade_2,Clade_3_for_arcs,Genus,Species,Nectary,Nelson_EFN_genuslevel,Structured,Source,URL,Placement,Developmental.stage,Hydathode,Aerophore,Notes,Herbarium
288,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_bullata,amb,1,NA,"H. van der Werff, G. Mcpherson & S. Rapanarivo 13615 BH 000 158 053",,costa rachis junction,,NA,,"hard to tell, large aerophore",Cornell
301,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_cuspidata,amb,1,NA,J. Pipoly 15996 BH 000 153 580,,rachis costa junction,,NA,yes,"at first thought the aerophore was a nectary, brown spot under aerophore but unsure if it's a nectary",Cornell
302,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_dealbata,amb,1,NA,P. Hynes SN BH 000 158 041,,rachis costa junction,,NA,,Think they are aerophores,Cornell
315,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_ferdinandii,amb,1,NA,W.W. Watts SN BH 000 158 033,,,,NA,,"Cornell specimen does not have costa rachis junction, NYBG does not have this specimen",Cornell
324,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_havilandii,amb,1,NA,M. Jacobs 5768 BH 000 158 035,http://sweetgum.nybg.org/science/vh/specimen-list/?DarScientificName=Alsophila%20havilandii%20(Baker)%20R.M.Tryon,,,NA,not sure,"hard to tell, too furry","Cornell, NYBG"
5583,Cyatheaceae,NA,NA,NA,NA,NA,Alsophila_junghuhniana,amb,NA,NA,"W. Java, M. Jacobs SN BH 000 157 958",,Possibly rachis-costa junction,,,,Not certain of nectarie,Cornell
5585,Cyatheaceae,NA,NA,NA,NA,NA,Alsophila_longipes,amb,NA,NA,J. & M.S. Clemens 51757 BH 000158 038,,costa rachis junction,,,yes,"raised area, hard to tell what it is, no obvious nectary or aerophore",Cornell
386,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_rolandii,amb,1,NA,"H. van der Werff, G. Mcpherson & S. Rapanarivo 13616 BH 000 158 055",,costa-rachis junction,,NA,,"one junction has an aerophore with a nectary beneath, and the other junction has an aerophore with no nectary",Cornell
562,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_angustifolia,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
563,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_annamensis,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
564,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_bipinnata,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
565,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_cartilagidens,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
566,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_caudatiformis,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
567,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_chingii,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
568,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_cochinchinensis,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
569,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_danaeoides,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
570,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_dianyuecola,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
571,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_evecta,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
572,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_fokiensis,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
573,Marattiaceae,Marattiales,Marattiales,Marattiales,Marattiales,Angiopteris,Angiopteris_helferiana,amb,NA,NA,Andrew Murdock Pers. Comm,,,,NA,,,
