Family,Order,Clade,Clade_2,Clade_3_for_arcs,Genus,Nectary
Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Yes
Polypodiaceae,Polypodiales,Eupolypods I,Polypodiaceae,Eupolypods I,Campyloneurum,Yes
Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Cyathea,Yes
Polypodiaceae,Polypodiales,Eupolypods I,Polypodiaceae,Eupolypods I,Drynaria,Yes
Lygodiaceae,Schizaeales,Schizaeales,Schizaeales,Schizaeales,Lygodium,Yes
Polypodiaceae,Polypodiales,Eupolypods I,Polypodiaceae,Eupolypods I,Platycerium,Yes
Polypodiaceae,Polypodiales,Eupolypods I,Polypodiaceae,Eupolypods I,Pleopeltis,Yes
Dryopteridaceae,Polypodiales,Eupolypods I,Eupolypods I,Eupolypods I,Polybotrya,Yes
Dennstaedtiaceae,Polypodiales,Dennstaedtiineae,Dennstaedtiineae,Dennstaedtiineae,Pteridium,Yes
Polypodiaceae,Polypodiales,Eupolypods I,Polypodiaceae,Eupolypods I,Selliguea,Yes
Polypodiaceae,Polypodiales,Eupolypods I,Polypodiaceae,Eupolypods I,Serpocaulon,Yes
Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Sphaeropteris,Yes
NA,NA,NA,NA,NA,Abacopteris,No
Hymenophyllaceae,Hymenophyllales,Hymenophyllales,Hymenophyllales,Hymenophyllales,Abrodictyum,No
Pteridaceae,Polypodiales,Pteridineae,Pteridineae,Pteridineae,Acrostichum,No
Pteridaceae,Polypodiales,Pteridineae,Pteridineae,Pteridineae,Actiniopteris,No
Schizaeaceae,Schizaeales,Schizaeales,Schizaeales,Schizaeales,Actinostachys,No
Cystopteridaceae,Polypodiales,Eupolypods II,Eupolypods II,Eupolypods II,Acystopteris,No
Polypodiaceae,Polypodiales,Eupolypods I,Polypodiaceae,Eupolypods I,Adenophorus,No
NA,NA,NA,NA,NA,Adetogramma,No
Pteridaceae,Polypodiales,Pteridineae,Pteridineae,Pteridineae,Adiantopsis,No
Pteridaceae,Polypodiales,Pteridineae,Pteridineae,Pteridineae,Adiantum,No
Polypodiaceae,Polypodiales,Eupolypods I,Polypodiaceae,Eupolypods I,Alansmia,No
Pteridaceae,Polypodiales,Pteridineae,Pteridineae,Pteridineae,Aleuritopteris,No
