,Family,Order,Clade,Clade_2,Clade_3_for_arcs,Genus,Species,Nectary,Structured,Source,URL,Placement,Developmental.stage,Hydathode,Aerophore,Notes,Herbarium,Leaf_area_ellipse_mm,Growth_habit_E1_T0,rhizome_form,Rhizome_form_dual_state,rhizome_diamter_mm,Stipe_diamter_mm,Root_diam_mm,internode.length_mm,HC_reduced_states_no_soldic,Growth_habit_E1_T0_Arb2_climb_3
1431,Cibotiaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Cibotium,Cibotium_arachnoideum,NA,NA,,,,,NA,,,,883575,0,NA,NA,NA,NA,,,NA,2
1432,Cibotiaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Cibotium,Cibotium_barometz,NA,NA,,,,,NA,,,,306306,0,creeping,rhizomatous,NA,NA,,,Solenostele,2
1433,Cibotiaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Cibotium,Cibotium_chamissoi,NA,NA,,,,,NA,,,,NA,0,trunk,non-rhizomatous,120,NA,,,Solenostele,2
1434,Cibotiaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Cibotium,Cibotium_cumingii,NA,NA,,,,,NA,,,,147262.5,0,erect to creeping,NA,NA,NA,,,Solenostele,2
1435,Cibotiaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Cibotium,Cibotium_glaucum,NA,NA,,,,,NA,,,,219912,0,erect to creeping,NA,160,NA,,,Solenostele,2
1436,Cibotiaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Cibotium,Cibotium_menziesii,NA,NA,,,,,NA,,,,291579.75,0,erect trunk,non-rhizomatous,160,NA,,,Solenostele,2
1437,Cibotiaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Cibotium,Cibotium_nealiae,NA,NA,,,,,NA,,,,219912,0,erect trunk,non-rhizomatous,160,NA,,,Solenostele,2
1438,Cibotiaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Cibotium,Cibotium_regale,NA,NA,,,,,NA,,,,294525,0,erect trunk,non-rhizomatous,NA,NA,,,Solenostele,2
1439,Cibotiaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Cibotium,Cibotium_schiedei,NA,NA,,,,,NA,,,,235620,0,NA,NA,NA,NA,,,Solenostele,2
1584,Culcitaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Culcita,Culcita_coniifolia,NA,NA,,,,,NA,,,,215985,0,creeping trunk,rhizomatous,60,NA,,,Solenostele,2
1585,Culcitaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Culcita,Culcita_macrocarpa,NA,NA,,,,,NA,,,,196350,0,creeping trunk,rhizomatous,NA,NA,,,Solenostele,2
291,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_bullata,amb,NA,"H. van der Werff, G. Mcpherson & S. Rapanarivo 13615 BH 000 158 053",,costa rachis junction,,NA,,"hard to tell, large aerophore",Cornell,NA,0,NA,NA,NA,NA,,,Polycyclic,2
304,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_cuspidata,amb,NA,J. Pipoly 15996 BH 000 153 580,,rachis costa junction,,NA,yes,"at first thought the aerophore was a nectary, brown spot under aerophore but unsure if it's a nectary",Cornell,319068.75,0,trunk,non-rhizomatous,100,NA,,,Polycyclic,2
305,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_dealbata,amb,NA,P. Hynes SN BH 000 158 041,,rachis costa junction,,NA,,Think they are aerophores,Cornell,687225,0,NA,NA,200,NA,,,Polycyclic,2
318,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_ferdinandii,amb,NA,W.W. Watts SN BH 000 158 033,,,,NA,,"Cornell specimen does not have costa rachis junction, NYBG does not have this specimen",Cornell,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
327,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_havilandii,amb,NA,M. Jacobs 5768 BH 000 158 035,http://sweetgum.nybg.org/science/vh/specimen-list/?DarScientificName=Alsophila%20havilandii%20(Baker)%20R.M.Tryon,,,NA,not sure,"hard to tell, too furry","Cornell, NYBG",NA,0,trunk,non-rhizomatous,NA,NA,,,Polycyclic,2
392,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_rolandii,amb,NA,"H. van der Werff, G. Mcpherson & S. Rapanarivo 13616 BH 000 158 055",,costa-rachis junction,,NA,,"one junction has an aerophore with a nectary beneath, and the other junction has an aerophore with no nectary",Cornell,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
265,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_abbottii,amb_digital,NA,R. Howard 8545; NY Barcode: 04006723,http://sweetgum.nybg.org/science/vh/specimen-details/?irn=4310978,NA,,NA,,no rachis-costa found,NYBG,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
286,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_borneensis,amb_digital,NA,M. Jacobs 5602 BH 000 158 014,http://sweetgum.nybg.org/science/vh/specimen-list/?DarScientificName=Alsophila%20borneensis%20(Copel.)%20R.M.Tryon,,,NA,,"Could not find on Cornell specimen, no junctions on NYBG specimens","Cornell, NYBG",NA,NA,NA,NA,NA,NA,NA,NA,NA,2
407,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_sinuata,amb_digital,NA,,http://sweetgum.nybg.org/science/vh/specimen-list/?DarScientificName=Alsophila%20sinuata%20(Hook.%20&%20Grev.)%20R.M.Tryon,,,NA,,all specimens from Cornell and NYBG did not have rachis costa junction,"Cornell, NYBG",NA,0,erect trunk,non-rhizomatous,30,NA,,,Polycyclic,2
266,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_acaulis,NA,NA,,,,,NA,,,,64795.5,0,NA,NA,NA,NA,,,Polycyclic,2
267,Cyatheaceae,Cyatheales,Cyatheales,Cyatheales,Cyatheales,Alsophila,Alsophila_acrostichoides,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
