"","x"
"1","Sacoglottis_gabonensis"
"2","Sacoglottis_sp._Hammel_18390"
"3","Sacoglottis_cydonoides"
"4","Vantanea_macrocarpa"
"5","Vantanea_ovicarpa"
"6","Vantanea_peruviana"
"7","Vantanea_barbourii"
"8","Vantanea_obovata"
"9","Vantanea_celativenia"
"10","Angostylis_longifolia"
"11","Blackia_andamanica"
"12","Argithamnia_adenophora"
"13","Neoscortechinia_sumatrensis"
"14","Neoscortechinia_nicobarica"
"15","Blumeodendron_calophyllum"
"16","Blumeodendron_sp._Chase_1252"
"17","Pycnocoma_macrophylla"
"18","Hancea_kingii"
"19","Mallotus_tiliifolius"
"20","Mallotus_longinervis"
"21","Mallotus_stewardii"
"22","Mallotus_kongkandae"
"23","Mallotus_sumatranus"
"24","Mallotus_cauliflorus"
"25","Mallotus_eberhardtii"
"26","Mallotus_leptostachyus"
"27","Mallotus_eximius"
"28","Mallotus_subjaponicus"
"29","Mallotus_lancifolius"
"30","Mallotus_repandus"
"31","Mallotus_philippensis"
"32","Mallotus_tetracoccus"
"33","Mallotus_mollissimus"
"34","Mallotus_macrostachyus"
"35","Mallotus_apelta"
"36","Mallotus_paniculatus"
"37","Mallotus_japonicus"
"38","Mallotus_barbatus"
"39","Mallotus_floribundus"
"40","Mallotus_peltatus"
"41","Mallotus_rufidulus"
"42","Mallotus_decipiens"
"43","Mallotus_pallidus"
"44","Mallotus_leucodermis"
"45","Mallotus_cambodianus"
"46","Mallotus_dispar"
"47","Mallotus_havilandii"
"48","Mallotus_eriocarpus"
"49","Mallotus_chromocarpus"
"50","Mallotus_roxburghianus"
"51","Macaranga_clemensiae"
"52","Macaranga_paxii"
"53","Macaranga_andamanica"
"54","Macaranga_saccifera"
"55","Macaranga_serratifolia"
"56","Macaranga_baccaureifolia"
"57","Macaranga_hispida"
"58","Macaranga_fulva"
"59","Macaranga_heudelotii"
"60","Macaranga_henryi"
"61","Macaranga_tsonane"
"62","Macaranga_strigosissima"
"63","Macaranga_sandsii"
"64","Macaranga_sp._A__GB_"
"65","Macaranga_maudslayi"
"66","Macaranga_pleiostemona"
"67","Macaranga_didymocarpa"
"68","Macaranga_louisiadum"
"69","Macaranga_endertii"
"70","Macaranga_sampsonii"
"71","Macaranga_subdentata"
"72","Macaranga_inamoena"
"73","Macaranga_brevipetiolata"
"74","Macaranga_lowii"
"75","Macaranga_repandodentata"
"76","Macaranga_praestans"
"77","Macaranga_trichocarpa"
"78","Macaranga_indica"
"79","Macaranga_hurifolia"
"80","Macaranga_schweinfurthii"
"81","Macaranga_barteri"
"82","Macaranga_monandra"
"83","Macaranga_heterophylla"
"84","Macaranga_winkleri"
"85","Macaranga_diepenhorstii"
"86","Macaranga_conifera"
"87","Macaranga_pachyphylla"
"88","Macaranga_sarcocarpa"
"89","Macaranga_recurvata"
"90","Macaranga_puncticulata"
"91","Macaranga_caladiifolia"
"92","Macaranga_lamellata"
"93","Macaranga_kingii"
"94","Macaranga_umbrosa"
"95","Macaranga_motleyana"
"96","Macaranga_griffithiana"
"97","Macaranga_constricta"
"98","Macaranga_hullettii"
"99","Macaranga_trachyphylla"
"100","Macaranga_indistincta"
"101","Macaranga_glandibracteolata"
"102","Macaranga_velutiniflora"
"103","Macaranga_depressa"
"104","Macaranga_triloba"
"105","Macaranga_angulata"
"106","Macaranga_rostrata"
"107","Macaranga_calcicola"
"108","Macaranga_bancana"
"109","Macaranga_havilandii"
"110","Macaranga_petanostyla"
"111","Macaranga_hypoleuca"
"112","Macaranga_beccariana"
"113","Macaranga_bicolor"
"114","Macaranga_pearsonii"
"115","Macaranga_puberula"
"116","Macaranga_hosei"
"117","Macaranga_pruinosa"
"118","Macaranga_gigantea"
"119","Macaranga_spathicalyx"
"120","Macaranga_costulata"
"121","Macaranga_kinabaluensis"
"122","Macaranga_heynei"
"123","Macaranga_rhizinoides"
"124","Macaranga_denticulata"
"125","Macaranga_densiflora"
"126","Macaranga_clavata"
"127","Macaranga_fallacina"
"128","Macaranga_tanarius"
"129","Macaranga_aleuritoides"
"130","Macaranga_quadriglandulosa"
"131","Macaranga_albescens"
"132","Macaranga_polyadenia"
"133","Macaranga_johannium"
"134","Macaranga_neobritannica"
"135","Macaranga_rarispina"
"136","Macaranga_punctata"
"137","Macaranga_kurzii"
"138","Macaranga_spinosa"
"139","Cleidion_castaneifolium"
"140","Cleidion_brevipetiolatum"
"141","Cleidion_spathulatum"
"142","Cleidion_velutinum"
"143","Cleidion_bracteosum"
"144","Homonoia_sp._Chase_1261"
"145","Rockinghamia_angustifolia"
"146","Ptychopyxis_costata"
"147","Ricinus_communis"
"148","Adriana_quadripartita"
"149","Claoxylon_tenerifolium"
"150","Claoxylon_hillii"
"151","Claoxylon_kinabaluense"
"152","Claoxylon_gillisonii"
"153","Claoxylon_taitense"
"154","Claoxylon_insulanum"
"155","Claoxylon_medullosum"
"156","Claoxylon_neoebudicum"
"157","Claoxylon_australe"
"158","Claoxylon_samoense"
"159","Claoxylon_racemiflorum"
"160","Claoxylon_angustifolium"
"161","Mareya_micrantha"
"162","Mareya_brevipes"
"163","Mareya_congolensis"
"164","Acalypha_lyonsii"
"165","Acalypha_hibiscifolia"
"166","Acalypha_juliflora"
"167","Acalypha_lovelandii"
"168","Acalypha_boliviensis"
"169","Acalypha_guatemalensis"
"170","Acalypha_boiviniana"
"171","Acalypha_websteri"
"172","Acalypha_lechleri"
"173","Acalypha_klotzschii"
"174","Acalypha_purpusii"
"175","Acalypha_amentacea"
"176","Acalypha_pohliana"
"177","Acalypha_glandulifolia"
"178","Acalypha_argomulleri"
"179","Acalypha_rapensis"
"180","Acalypha_simplicistyla"
"181","Acalypha_hassleriana"
"182","Acalypha_stellata"
"183","Acalypha_virgata"
"184","Acalypha_cincta"
"185","Acalypha_pilosa"
"186","Acalypha_obscura"
"187","Acalypha_microgyne"
"188","Acalypha_brachystachya"
"189","Acalypha_lepinei"
"190","Acalypha_costaricensis"
"191","Acalypha_caeciliae"
"192","Acalypha_mapirensis"
"193","Acalypha_radicans"
"194","Acalypha_apicalis"
"195","Acalypha_richardiana"
"196","Acalypha_ciliata"
"197","Acalypha_eremorum"
"198","Acalypha_acrogyna"
"199","Acalypha_martiana"
"200","Acalypha_fasciculata"
"201","Acalypha_buchtienii"
"202","Acalypha_buddleifolia"
"203","Acalypha_flavescens"
"204","Acalypha_tricholoba"
"205","Acalypha_lindeniana"
"206","Acalypha_glechomaefolia"
"207","Acalypha_humbertii"
"208","Acalypha_acapulcensis"
"209","Acalypha_squarrosa"
"210","Acalypha_brasiliensis"
"211","Acalypha_humblotiana"
"212","Acalypha_decaryana"
"213","Acalypha_burquezii"
"214","Acalypha_haploclada"
"215","Acalypha_amplexicaulis"
"216","Acalypha_melochiifolia"
"217","Acalypha_salicifolia"
"218","Acalypha_subscandens"
"219","Acalypha_stachyura"
"220","Sampantaea_amentiflora"
"221","Plukenetia_stipellata"
"222","Plukenetia_brachybotrya"
"223","Plukenetia_serrata"
"224","Plukenetia_supraglandulosa"
"225","Dalechampia_dioscoreifolia"
"226","Dalechampia_attenuistylis"
"227","Dalechampia_olfersiana"
"228","Dalechampia_scandans"
"229","Dalechampia_aff._ipomoeifolia_BGB-2009"
"230","Dalechampia_scandens"
"231","Dalechampia_subternata"
"232","Dalechampia_stipulacea"
"233","Dalechampia_cissifolia"
"234","Dalechampia_caperonioides"
"235","Dalechampia_aff._tamifolia_WMCM-2016"
"236","Dalechampia_katangensis"
"237","Dalechampia_stenoloba"
"238","Dalechampia_dioscoreaefolia"
"239","Dalechampia_sp._BGB-2009b"
"240","Dalechampia_perrieri"
"241","Dalechampia_linearis"
"242","Dalechampia_sp._BGB-2009a"
"243","Platygyna_leonis"
"244","Epiprinus_mallotiformis"
"245","Epiprinus_siletianus"
"246","Epiprinus_malayanus"
"247","Koilodepas_longifolium"
"248","Caperonia_palustris"
"249","Chrozophora_tinctoria"
"250","Chrozophora_sabulosa"
"251","Alchorneopsis_floribunda"
"252","Caryodendron_angustifolium"
"253","Aparisthmium_cordatum"
"254","Alchornea_rugosa"
"255","Alchornea_megalophylla"
"256","Alchornea_discolor"
"257","Alchornea_glandulosa"
"258","Alchornea_triplinervia"
"259","Alchornea_grandis"
"260","Alchornea_chiapasana"
"261","Alchornea_perrieri"
"262","Alchornea_androgyna"
"263","Alchornea_cordifolia"
"264","Alchornea_latifolia"
"265","Alchornea_costaricensis"
"266","Alchornea_tiliifolia"
"267","Alchornea_trewioides"
"268","Alchornea_laxiflora"
"269","Omphalea_trichotoma"
"270","Omphalea_bracteata"
"271","Omphalea_oleifera"
"272","Omphalea_queenslandiae"
"273","Omphalea_diandra"
"274","Doryxylon_spinosum"
"275","Caelebogyne_thozetiana"
"276","Accia_scandens"
"277","Oligoceras_eberhardtii"
"278","Shirakiopsis_virgata"
"279","Shirakiopsis_indica"
"280","Hylococcus_sericeus"
"281","Tapoides_villamilii"
